category_id,category_name,victim_age,victim_gender,location,reporter_type,narrative,gbv_related,priority,timestamp,perpetrator_relation,perpetrator_age,repeat_offense
40,Destitute child,9,Male,School,Teacher,Teacher reports case of destitute child involving 9-year-old Male child. Incidient occurred at School. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
6,Registration,4,Male,Online,Healthcare worker,Healthcare worker reports case of registration involving 4-year-old Male child. Incidient occurred at Online. ,No,Medium,2025-05-01 13:08:06,,,
23,Incest,7,Male,School,Neighbor,Neighbor reports case of incest involving 7-year-old Male child. Incidient occurred at School. ,Yes,Low,2025-05-01 13:08:06,Stranger,30.0,Yes
1,Abandoned,16,Male,Public place,Parent,"Child (16, Male) abandoned at Public place this morning. Parent reports no known family members have come forward.",No,High,2025-05-01 13:08:06,Neighbor,39.0,Yes
14,Child in conflict with the law,2,Male,Home,Neighbor,Neighbor reports case of child in conflict with the law involving 2-year-old Male child. Incidient occurred at Home. Child is now safe.,No,Medium,2025-05-01 13:08:06,,,
7,Children on the Street,16,Female,Online,Healthcare worker,Healthcare worker reports case of children on the street involving 16-year-old Female child. Incidient occurred at Online. Investigation ongoing.,No,Medium,2025-05-01 13:08:06,,,
3,Attempted Defilement,17,Female,Online,Neighbor,Neighbor reports case of attempted defilement involving 17-year-old Female child. Incidient occurred at Online. Child is now safe.,No,Low,2025-05-01 13:08:06,Stranger,42.0,Yes
1,Abandoned,3,Intersex,Public place,Neighbor,"Child (3, Intersex) abandoned at Public place last week. Neighbor reports no known family members have come forward.",No,High,2025-05-01 13:08:06,Relative,66.0,No
24,Disinheritance/succession,2,Male,School,Parent,Parent reports case of disinheritance/succession involving 2-year-old Male child. Incidient occurred at School. Child is now safe.,No,High,2025-05-01 13:08:06,,,
11,Child Trafficking,8,Male,School,Teacher,Teacher reports case of child trafficking involving 8-year-old Male child. Incidient occurred at School. Child is now safe.,No,Low,2025-05-01 13:08:06,Teacher,42.0,Yes
28,Online Child Abuse,5,Male,Online,Neighbor,Neighbor reports case of online child abuse involving 5-year-old Male child. Incidient occurred at Online. Child is now safe.,Yes,Medium,2025-05-01 13:08:06,,,
41,Child parent,10,Intersex,Home,Healthcare worker,Healthcare worker reports case of child parent involving 10-year-old Intersex child. Incidient occurred at Home. Investigation ongoing.,No,Low,2025-05-01 13:08:06,,,
28,Online Child Abuse,12,Female,Online,Parent,Parent reports case of online child abuse involving 12-year-old Female child. Incidient occurred at Online. Investigation ongoing.,Yes,Medium,2025-05-01 13:08:06,,,
38,Child radicalization,15,Female,School,Parent,Parent reports case of child radicalization involving 15-year-old Female child. Incidient occurred at School. ,No,High,2025-05-01 13:08:06,,,
22,Female Genital Mutilation,6,Intersex,Home,Healthcare worker,Healthcare worker reports case of female genital mutilation involving 6-year-old Intersex child. Incidient occurred at Home. Child is now safe.,No,Low,2025-05-01 13:08:06,Parent,60.0,Yes
8,Child labor,6,Male,Home,Teacher,Teacher reports case of child labor involving 6-year-old Male child. Incidient occurred at Home. Child is now safe.,No,Low,2025-05-01 13:08:06,,,
2,Abduction,9,Intersex,Public place,Healthcare worker,Healthcare worker reports case of abduction involving 9-year-old Intersex child. Incidient occurred at Public place. ,Yes,Low,2025-05-01 13:08:06,Relative,37.0,No
41,Child parent,10,Intersex,School,Parent,Parent reports case of child parent involving 10-year-old Intersex child. Incidient occurred at School. Child is now safe.,Yes,High,2025-05-01 13:08:06,,,
41,Child parent,15,Intersex,Public place,Teacher,Teacher reports case of child parent involving 15-year-old Intersex child. Incidient occurred at Public place. Investigation ongoing.,Yes,Low,2025-05-01 13:08:06,,,
31,Sexual assault,8,Male,Online,Healthcare worker,Healthcare worker reports case of sexual assault involving 8-year-old Male child. Incidient occurred at Online. ,No,High,2025-05-01 13:08:06,Parent,42.0,No
39,Forced Male Circumcision,0,Male,Home,Teacher,Teacher reports case of forced male circumcision involving 0-year-old Male child. Incidient occurred at Home. Child is now safe.,No,Medium,2025-05-01 13:08:06,Stranger,54.0,Yes
10,Sexual assault and Abuse,7,Female,School,Teacher,Teacher reports case of sexual assault and abuse involving 7-year-old Female child. Incidient occurred at School. ,Yes,Medium,2025-05-01 13:08:06,Teacher,28.0,Yes
25,Internally Displaced Child,5,Intersex,Online,Neighbor,Neighbor reports case of internally displaced child involving 5-year-old Intersex child. Incidient occurred at Online. ,Yes,High,2025-05-01 13:08:06,,,
